stat,Dis,crop,year,sea,prod,met,Unnamed: 7,Unnamed: 8,Unnamed: 9
Tamil Nadu,Dharmapuri,Bajra,2002,Kharif,3281,Hectare,3797.0,Tonnes,1.157269125
Tamil Nadu,Dindigul,Bajra,2002,Kharif,5062,Hectare,5137.0,Tonnes,1.014816278
Tamil Nadu,Erode,Bajra,2002,Kharif,1583,Hectare,1350.0,Tonnes,0.852811118
Tamil Nadu,Kanchipuram,Bajra,2002,Kharif,26,Hectare,48.0,Tonnes,1.846153846
Tamil Nadu,Karur,Bajra,2002,Kharif,6228,Hectare,1550.0,Tonnes,0.248876044
Tamil Nadu,Madurai,Bajra,2002,Kharif,2986,Hectare,4390.0,Tonnes,1.47019424
Tamil Nadu,Namakkal,Bajra,2002,Kharif,434,Hectare,448.0,Tonnes,1.032258065
Tamil Nadu,Perambalur,Bajra,2002,Kharif,2699,Hectare,2149.0,Tonnes,0.796220823
Tamil Nadu,Pudukkottai,Bajra,2002,Kharif,7,Hectare,6.0,Tonnes,0.857142857
Tamil Nadu,Ramanathapuram,Bajra,2002,Kharif,457,Hectare,352.0,Tonnes,0.7702407
Tamil Nadu,Salem,Bajra,2002,Kharif,2679,Hectare,2849.0,Tonnes,1.063456514
Tamil Nadu,Sivaganga,Bajra,2002,Kharif,3,Hectare,2.0,Tonnes,0.666666667
Tamil Nadu,Thanjavur,Bajra,2002,Kharif,4,Hectare,7.0,Tonnes,1.75
Tamil Nadu,Theni,Bajra,2002,Kharif,4860,Hectare,4137.0,Tonnes,0.851234568
Tamil Nadu,Thiruvallur,Bajra,2002,Kharif,1471,Hectare,1909.0,Tonnes,1.297756628
Tamil Nadu,Thoothukudi,Bajra,2002,Kharif,18374,Hectare,24451.0,Tonnes,1.330739088
Tamil Nadu,Tiruchirappalli,Bajra,2002,Kharif,3757,Hectare,3676.0,Tonnes,0.978440245
Tamil Nadu,Tirunelveli,Bajra,2002,Kharif,1505,Hectare,1484.0,Tonnes,0.986046512
Tamil Nadu,Tiruvannamalai,Bajra,2002,Kharif,6270,Hectare,3491.0,Tonnes,0.556778309
Tamil Nadu,Vellore,Bajra,2002,Kharif,3453,Hectare,3126.0,Tonnes,0.905299739
Tamil Nadu,Villupuram,Bajra,2002,Kharif,27294,Hectare,10774.0,Tonnes,0.39473877
Tamil Nadu,Virudhunagar,Bajra,2002,Kharif,6258,Hectare,8040.0,Tonnes,1.284755513
Tamil Nadu,Coimbatore,Banana,2002,whole_year,6499,Hectare,212533.0,Tonnes,32.70241576
Tamil Nadu,Cuddalore,Banana,2002,whole_year,3753,Hectare,104971.0,Tonnes,27.96989075
Tamil Nadu,Dharmapuri,Banana,2002,whole_year,1142,Hectare,42200.0,Tonnes,36.95271454
Tamil Nadu,Dindigul,Banana,2002,whole_year,3325,Hectare,85802.0,Tonnes,25.80511278
Tamil Nadu,Erode,Banana,2002,whole_year,4450,Hectare,139630.0,Tonnes,31.37752809
Tamil Nadu,Kanchipuram,Banana,2002,whole_year,231,Hectare,8536.0,Tonnes,36.95238095
Tamil Nadu,Kanniyakumari,Banana,2002,whole_year,4974,Hectare,126152.0,Tonnes,25.36228388
Tamil Nadu,Karur,Banana,2002,whole_year,5151,Hectare,104486.0,Tonnes,20.28460493
Tamil Nadu,Madurai,Banana,2002,whole_year,2136,Hectare,76779.0,Tonnes,35.94522472
Tamil Nadu,Nagapattinam,Banana,2002,whole_year,750,Hectare,27715.0,Tonnes,36.95333333
Tamil Nadu,Namakkal,Banana,2002,whole_year,898,Hectare,33184.0,Tonnes,36.9532294
Tamil Nadu,Perambalur,Banana,2002,whole_year,277,Hectare,10236.0,Tonnes,36.95306859
Tamil Nadu,Pudukkottai,Banana,2002,whole_year,3443,Hectare,170257.0,Tonnes,49.45018879
Tamil Nadu,Ramanathapuram,Banana,2002,whole_year,169,Hectare,6245.0,Tonnes,36.95266272
Tamil Nadu,Salem,Banana,2002,whole_year,613,Hectare,22652.0,Tonnes,36.95269168
Tamil Nadu,Sivaganga,Banana,2002,whole_year,690,Hectare,25498.0,Tonnes,36.95362319
Tamil Nadu,Thanjavur,Banana,2002,whole_year,3726,Hectare,102024.0,Tonnes,27.38164251
